epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.84855,5.68619,9.52824,4.27427,0,0,0,0,4.86403,5.82583,4.16037,3.333e-05,3.333e-05,3.333e-05
2,7.53114,5.37418,6.25707,4.37567,0,0,0,0,4.86347,5.82308,4.16076,7.62302e-05,7.62302e-05,7.62302e-05
3,12.8016,5.60996,7.96515,4.30317,0,0,0,0,4.86437,5.82169,4.16211,0.00011737,0.00011737,0.00011737
4,16.5623,3.4977,10.1917,3.26256,0,0,0,0,4.86314,5.82433,4.16295,0.000156751,0.000156751,0.000156751
5,20.1797,4.83732,6.76611,4.23762,0,0,0,0,4.86225,5.82839,4.16458,0.000194372,0.000194372,0.000194372
6,25.2924,4.96301,5.80865,4.21897,0,0,0,0,4.86268,5.83324,4.16654,0.000230233,0.000230233,0.000230233
7,31.3735,3.48965,10.1457,3.15471,0,0,0,0,4.86623,5.80238,4.16816,0.000264334,0.000264334,0.000264334
8,35.3515,5.08231,6.49875,4.13837,0,0,0,0,4.86665,5.80037,4.16991,0.000296675,0.000296675,0.000296675
9,39.0321,5.24797,7.78193,4.13054,0,0,0,0,4.86772,5.81273,4.1734,0.000327256,0.000327256,0.000327256
10,44.8757,4.65239,5.86998,4.12545,0,0,0,0,4.87336,5.79596,4.1775,0.000356078,0.000356078,0.000356078
11,48.8667,4.80826,6.39968,4.15118,0,0,0,0,4.87656,5.78048,4.18215,0.000383139,0.000383139,0.000383139
12,52.2852,4.51797,5.75828,4.1395,0,0,0,0,4.88373,5.77373,4.18863,0.000408441,0.000408441,0.000408441
